"CU_ID","Species","Stock","DataType","Year","SpnForAbd_Wild","SpnForTrend_Wild","RelLBM","AbsLBM","LongTrend","PercChange","ProbDeclBelowLBM","Percentile","RelUBM","AbsUBM","GenAvgSpnForAbd","IntStatusRaw","IntStatusRaw_Short","IntStatus_Short","RapidStatus","BinLabel","BinPath","RapidScore","LongTrendCat","PercChangeCat","ProbDeclBelowLBMCat","PercentileCat","RelAbdCat","AbsAbdCat","RelAbd_LBM","RelAbd_UBM","SpnForAbd_Total","SpnForTrend_Total","ConfidenceRating","IntStatus5","IntStatus3","IntStatus2"
"Case1","Chinook","CU1_Chinook","Abs_Abd",1995,15599,15599,1.60105072998777,21.855943515063,148,64.3559,1.7333,NA,0.81451732996918,2.1855943515063,21855.943515063,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Amber","Green",13651,26833,15599,15599,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",1996,36787,36787,1.8092505985158,24.6980799203392,161,53.8007,2.1333,NA,0.920436772643356,2.46980799203392,24698.0799203392,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Amber","Green",13651,26833,36787,36787,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",1997,20314,20314,1.90380960035511,25.9889048544477,167,17.4375,6.9333,NA,0.968542647279382,2.59889048544477,25988.9048544477,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Amber","Green",13651,26833,20314,20314,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",1998,36950,36950,1.87666082668845,25.618296945124,159,57.0538,1.6667,NA,0.954731000824508,2.5618296945124,25618.296945124,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Amber","Green",13651,26833,36950,36950,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",1999,45080,45080,2.44685129301929,33.4019670010064,199,92.2542,0.5333,NA,1.24480926474887,3.34019670010064,33401.9670010064,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",13651,26833,45080,45080,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2000,26681,26681,2.2580549619098,30.8247082850307,180,91.8589,0.7,NA,1.14876116293485,3.08247082850307,30824.7082850307,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",13651,26833,26681,26681,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2001,32234,32234,2.5343360247173,34.5962210734159,198,76.8912,1,NA,1.28931618057675,3.45962210734159,34596.2210734159,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",13651,26833,32234,32234,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2002,56121,56121,2.81346771897471,38.4066478317237,211,145.6327,0.0333,NA,1.43132142629314,3.84066478317237,38406.6478317237,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",13651,26833,56121,56121,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2003,35217,35217,2.64505099277197,36.1075911023302,194,101.1936,0.6333,NA,1.34564122917043,3.61075911023302,36107.5911023302,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",13651,26833,35217,35217,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2004,17139,17139,2.36799015798489,32.3254336466518,174,37.9968,7.7333,NA,1.20468951092505,3.23254336466518,32325.4336466518,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",13651,26833,17139,17139,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2005,17798,17798,2.04124034345644,27.8649719285239,150,-13.7375,36.9,NA,1.03845905893951,2.78649719285239,27864.9719285239,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Green","Green",13651,26833,17798,17798,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2006,65531,65531,2.12189794310313,28.9660288213008,150,39.7842,9.8,NA,1.07949274480307,2.89660288213008,28966.0288213008,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Green","Green",13651,26833,65531,65531,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2007,17298,17298,1.7763779581321,24.2493355064613,126,-21.0309,45.4333,NA,0.903713170590738,2.42493355064613,24249.3355064613,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Amber",NA,NA,"Amber","Green",13651,26833,17298,17298,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2008,14906,14906,1.71545482270973,23.4176737848105,123,-36.4299,63.0667,NA,0.872719181038665,2.34176737848105,23417.6737848105,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Red",NA,NA,"Amber","Green",13651,26833,14906,14906,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2009,24936,24936,1.86635039032248,25.4775491782922,132,-50.2314,82.9333,NA,0.949485677273961,2.54775491782922,25477.5491782922,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Red",NA,NA,"Amber","Green",13651,26833,24936,24936,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2010,79259,79259,1.95723796024859,26.7182553953535,133,-12.7363,39.6333,NA,0.995723750432435,2.67182553953535,26718.2553953535,"Blue","Blue","Blue","Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Amber","Green",13651,26833,79259,79259,"High","Blue","Blue","Blue"
"Case1","Chinook","CU1_Chinook","Abs_Abd",2011,19300,19300,2.01156460040979,27.459868360194,137,-14.8488,41.1,NA,1.02336184400529,2.7459868360194,27459.868360194,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Green","Green",13651,26833,19300,19300,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2012,3648,3648,1.41484027005593,19.3139845265335,101,-65.7292,85.3667,NA,0.719784762290221,1.93139845265335,19313.9845265335,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Red",NA,NA,"Amber","Green",13651,26833,3648,3648,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2013,24169,24169,1.40383280087802,19.1637215647858,100,-59.8035,78.7333,NA,0.714184830797368,1.91637215647858,19163.7215647858,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Red",NA,NA,"Amber","Green",13651,26833,24169,24169,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2014,46158,46158,1.2263515494798,16.7409250019487,85,-20.4186,47.3333,NA,0.623893154024847,1.67409250019487,16740.9250019487,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Amber",NA,NA,"Amber","Green",13651,26833,46158,46158,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2015,42282,42282,1.49198527647061,20.3670910091003,102,24.8171,26.5,NA,0.759031454146024,2.03670910091003,20367.0910091003,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Amber","Green",13651,26833,42282,42282,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2016,6600,6600,1.73036138130137,23.621163216145,121,-38.1783,58.7333,NA,0.880302732312636,2.3621163216145,23621.163216145,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Red",NA,NA,"Amber","Green",13651,26833,6600,6600,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2017,13091,13091,1.48444923116784,20.2642164546722,105,-55.5292,71.9667,NA,0.755197572193648,2.02642164546722,20264.2164546722,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Red",NA,NA,"Amber","Green",13651,26833,13091,13091,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2018,17149,17149,1.15894627381941,15.8207755839088,82,-30.1623,53.1667,NA,0.589601445381014,1.58207755839088,15820.7755839088,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Red",NA,NA,"Amber","Green",13651,26833,17149,17149,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2019,27824,27824,1.04382889375574,14.2493082286595,73,-21.7589,48.1333,NA,0.53103671705212,1.42493082286595,14249.3082286595,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Amber",NA,NA,"Amber","Green",13651,26833,27824,27824,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2020,24139,24139,1.44352114198341,19.7055071092156,101,-24.3358,49.6333,NA,0.734375847248372,1.97055071092156,19705.5071092156,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Amber",NA,NA,"Amber","Green",13651,26833,24139,24139,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2021,30699,30699,1.78632715601914,24.3851520068173,124,-4.1492,38.7667,NA,0.908774717952419,2.43851520068173,24385.1520068173,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Amber","Green",13651,26833,30699,30699,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2022,35675,35675,2.14532105863285,29.285777771397,147,124.8874,6.2,NA,1.09140900277259,2.9285777771397,29285.777771397,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Green","Green",13651,26833,35675,35675,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2023,84199,84199,2.82952892622137,38.625899371848,188,308.5547,1.8667,NA,1.43949239264517,3.8625899371848,38625.899371848,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",13651,26833,84199,84199,"High",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",1995,8202,8202,NA,NA,104,-32.0299,60.4,NA,NA,NA,7695.60009356953,NA,NA,NA,"Amber","Node65","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,"Green","Red",NA,NA,NA,NA,21244,48317,8144,8144,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",1996,34238,34238,NA,NA,126,12.0808,23.3,NA,NA,NA,9944.00090830677,NA,NA,NA,"Amber","Node65","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,"Green","Green",NA,NA,NA,NA,21244,48317,35041,35041,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",1997,36529,36529,NA,NA,172,81.8319,8.0667,NA,NA,NA,14481.2101107861,NA,NA,NA,"Amber","Node65","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,"Green","Green",NA,NA,NA,NA,21244,48317,35733,35733,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",1998,66816,66816,NA,NA,313,255.158,2.3333,NA,NA,NA,28773.0964915603,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,66796,66796,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",1999,19015,19015,NA,NA,375,307.5807,1.4667,NA,NA,NA,35504.2827324722,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,19095,19095,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2000,16961,16961,NA,NA,307,371.9308,0.9667,NA,NA,NA,29786.2966172216,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,16296,16296,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2001,42619,42619,NA,NA,302,609.0992,0.3,NA,NA,NA,30956.9294886688,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,42641,42641,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2002,54230,54230,NA,NA,271,590.8089,0.0333,NA,NA,NA,29383.103230796,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,53525,53525,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2003,47645,47645,NA,NA,323,590.5815,0.2,NA,NA,NA,36968.1664811726,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,46274,46274,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2004,41221,41221,NA,NA,387,592.6778,0.1333,NA,NA,NA,46157.7551013268,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,39617,39617,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2005,79712,79712,NA,NA,426,551.7014,0.2667,NA,NA,NA,53978.9945996023,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,81904,81904,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2006,123977,123977,NA,NA,487,385.0497,0.2667,NA,NA,NA,66374.3331569111,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,126573,126573,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2007,60267,60267,NA,NA,494,171.0162,0.8667,NA,NA,NA,70390.7725100903,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,59681,59681,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2008,81487,81487,NA,NA,557,197.1261,0.4,NA,NA,NA,83465.7274621946,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,82425,82425,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2009,65329,65329,NA,NA,508,195.288,0.4,NA,NA,NA,79415.2228742014,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,65224,65224,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2010,86752,86752,NA,NA,443,319.4216,0,NA,NA,NA,72633.7308310153,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,88432,88432,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2011,116639,116639,NA,NA,495,258.7504,0.0333,NA,NA,NA,85670.1260292584,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,113096,113096,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2012,49029,49029,NA,NA,424,72.5753,1.2333,NA,NA,NA,75451.9698159779,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,47044,47044,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2013,97042,97042,NA,NA,449,61.4547,1.7333,NA,NA,NA,83297.8926557883,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,96148,96148,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2014,41229,41229,NA,NA,365,13.6968,14.2,NA,NA,NA,69161.5695707444,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,41804,41804,"Low",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2015,140118,140118,NA,NA,364,26.0466,11.2333,NA,NA,NA,72406.4702007366,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,"Green","Green",NA,NA,NA,NA,21244,48317,148035,148035,"Low",NA,NA,NA
